言中有骨(언중유골),말 속에 뼈가 있다., 言:말씀 언 中:가운데 중 有:있을 유 骨:뼈 골,
雪上加霜(설상가상),엎친 데 덮친 격, 雪:눈 설 上:위 상 加:더할 가 霜:서리 상,
首丘初心(수구초심),고향을 그리워하는 마음, 首:머리 수 丘:언덕 구 初:처음 초 心:마음 심,
外柔內剛(외유내강),겉은 부드러우나 속은 굳셈, 外:밖 외 柔:부드러울 유 內:안 내 剛:굳셀 강,
佳人薄命(가인박명),아름다운 여자는 수명이 짧음,佳:아름다울 가 人:사람 인 薄:메마를 박 命:운명 명,
管鮑之交(관포지교),아주 친한 친구사이, 管:대롱 관 鮑:절인고기 포 之:갈 지 交:사귈 교,
巧言令色(교언영색),남에게 아첨하는 말과 태도, 巧:공교로울 교 言:말씀 언 令:하여금 영 色:빛 색,
勸善懲惡(권선징악),착한 것을 권장하고 악한 것을 벌줌, 勸:권할 권 善:착할 선 懲:징계할 징 惡:악할 악,
錦衣還鄕(금의환향),성공해서 고향에 돌아옴, 錦:비단 금 衣:옷 의 還:돌아갈 환 鄕:고향 향,
氣高萬丈(기고만장),펄펄 뛸 만큼 성이 나 있음, 氣:기운 기 高:높을 고 萬:일만 만 丈:길이 장,
無爲徒食(무위도식),아무 하는 일도 없이 먹고 놀기만 함, 無:없을 무 爲:할 위 徒:다만 도 食:먹을 식,
杜門不出(두문불출),집에만 박혀 있고 세상 밖에 나가지 않음,杜:막을 두 門:문 문 不:아니 불 出:나갈 출,
燈下不明(등하불명),등잔 밑이 어둡다., 燈:등불 등 下:아래 하 不:아니 불 明:밝을 명,
